,Id,DistrictId,Rooms,Square,LifeSquare,KitchenSquare,Floor,HouseFloor,HouseYear,Ecology_1,Ecology_2,Ecology_3,Social_1,Social_2,Social_3,Healthcare_1,Helthcare_2,Shops_1,Shops_2
4988,11890,1,2.0,66.68329504773018,,1.0,6,17.0,1977,0.007122317,B,B,1,264,0,,0,1,B
4249,11651,3,1.0,40.11768891770818,24.646038170932503,7.0,12,16.0,1973,0.050900058,B,B,43,10621,1,30.0,2,3,B
736,10617,6,2.0,65.7063870935295,,1.0,14,1.0,2014,0.243204519,B,B,5,1564,0,540.0,0,0,B
3823,9986,1,2.0,64.21133908793284,,1.0,4,16.0,2015,0.007122317,B,B,1,264,0,,0,1,B
2119,13805,23,2.0,55.03129296994047,55.77806517493887,1.0,4,12.0,2017,0.005767451,B,B,1,388,0,,0,0,B
4539,3316,44,2.0,42.7697271926506,23.92895536272623,6.0,8,18.0,1966,0.232205084,B,B,24,4860,1,80.0,0,3,B
1147,7781,92,1.0,37.91472329839142,20.59454126952537,7.0,11,17.0,2014,0.460556389,B,B,20,4386,14,,1,5,B
860,8697,54,3.0,107.26140330876824,,9.0,4,17.0,2013,0.006076152,B,B,30,5285,0,645.0,6,6,B
1958,8949,69,3.0,65.35995760974464,47.338307433191936,7.0,5,16.0,1985,0.000991363,B,B,33,6783,3,,1,9,B
1878,5026,103,2.0,48.47031457342871,34.55350895087747,5.0,2,5.0,1967,0.014423114,B,B,19,3806,4,,0,3,B
3459,12743,27,1.0,40.40738968244303,,0.0,9,0.0,1977,0.211401214,B,B,9,1892,0,,0,1,B
3633,14954,66,1.0,52.50771283662468,21.368214874114397,13.0,15,27.0,2012,0.111627393,B,B,50,12238,8,1970.0,2,3,B
628,12318,11,3.0,66.52409810232976,63.20275192092185,7.0,7,12.0,1975,0.0001696759999999,B,B,36,5992,0,,1,1,B
3813,16643,86,3.0,90.4609791297978,52.19675339392644,9.0,15,26.0,2011,0.161975568,B,A,31,7010,5,4508.0,3,7,B
3245,10397,27,3.0,65.36041675560371,65.62741601653288,1.0,6,1.0,1977,0.072157581,B,B,2,629,1,,0,0,A
623,15020,61,2.0,41.66545771486654,24.84290619459302,6.0,5,14.0,1980,0.300322518,B,B,52,10311,6,,1,9,B
1207,13132,30,2.0,61.25354853615504,,1.0,21,22.0,1977,7.81528e-05,B,B,22,6398,141,1046.0,3,23,B
2829,15324,79,2.0,59.26812335257112,36.73806642438844,10.0,10,22.0,2002,0.050755569,B,B,24,5469,1,145.0,0,1,B
4623,12230,126,2.0,41.70467602063218,24.1559951223729,5.0,5,5.0,1962,0.486245621,B,B,13,2514,19,,0,6,B
1903,15352,23,3.0,102.2230401443685,99.538613549229,0.0,9,0.0,1977,0.014072961,B,B,2,475,0,,0,0,B
3373,14057,23,2.0,62.40394216792572,,1.0,25,25.0,1977,0.075778755,B,B,6,1437,3,,0,2,B
862,13639,9,2.0,58.59438304484495,29.092546756584287,9.0,6,15.0,2007,0.161531741,B,B,25,5648,1,30.0,2,4,B
2057,15824,90,2.0,42.78901189043373,29.61447877299996,5.0,2,5.0,1965,0.265088676,B,B,37,5288,0,1937.0,3,2,B
3680,10184,58,1.0,43.47525693777144,,0.0,6,17.0,1977,0.43788524,B,B,23,5735,3,1084.0,0,5,B
4112,13420,27,2.0,66.2686434987951,39.26450110491086,8.0,5,3.0,2017,0.01405792,B,B,1,290,0,,0,0,B
475,7622,107,2.0,60.91875982885984,34.824602414519966,8.0,22,23.0,2011,0.050272014,B,B,21,4231,14,1020.0,0,3,B
4006,7743,6,3.0,77.40637155066531,75.99495864522427,1.0,1,1.0,2014,0.243204519,B,B,5,1564,0,540.0,0,0,B
2128,307,97,1.0,38.89710093888839,23.787833291632648,6.0,2,4.0,1962,0.486245621,B,B,13,2514,19,,0,6,B
2357,13108,24,2.0,54.59057671317649,32.09688185614966,8.0,11,17.0,1990,0.111627393,B,B,50,12238,8,1970.0,2,3,B
81,7446,100,1.0,34.55729086333245,21.20850181545886,6.0,10,9.0,1966,0.200146802,B,B,23,3975,8,770.0,2,0,B
4918,13751,132,1.0,37.35804306421228,20.11492662522384,9.0,14,16.0,1979,0.306977489,B,B,27,5148,14,1575.0,5,7,B
4541,111,1,2.0,54.64547704768722,,1.0,15,17.0,1977,0.007122317,B,B,1,264,0,,0,1,B
4482,15275,11,2.0,52.85537451351156,32.55957100018501,12.0,12,16.0,1975,0.0001696759999999,B,B,36,5992,0,,1,1,B
2142,734,62,2.0,75.85700608357075,41.75617178903565,11.0,8,10.0,1999,0.386771659,B,B,5,1135,0,,0,0,A
3408,9568,140,2.0,45.10234107921121,28.385514061337485,6.0,5,5.0,1960,0.0,B,B,33,7425,1,,2,5,B
1825,13760,101,2.0,61.384676428808326,40.31006989360464,8.0,4,5.0,1958,0.225824954,A,B,41,6558,7,1548.0,3,2,B
4212,5262,30,2.0,76.60753831867471,2.820279428401639,1.0,5,1.0,1977,7.81528e-05,B,B,22,6398,141,1046.0,3,23,B
2999,8875,58,2.0,60.465141320320406,,0.0,3,3.0,1977,0.43788524,B,B,23,5735,3,1084.0,0,5,B
1292,16786,23,1.0,44.66916066224369,,1.0,7,25.0,1977,0.075778755,B,B,6,1437,3,,0,2,B
2558,3842,69,1.0,36.203173514157136,16.577751564669278,7.0,3,9.0,1973,0.000991363,B,B,33,6783,3,,1,9,B
1544,6064,1,2.0,62.98100732815196,66.22718918039762,0.0,13,24.0,1977,0.007122317,B,B,1,264,0,,0,1,B
1121,3512,105,4.0,77.69972605308722,51.65130297357904,8.0,2,12.0,1977,0.069660344,B,B,31,6119,4,,1,2,B
4564,4600,145,2.0,61.93324195395563,36.95878055129681,10.0,16,17.0,1989,0.0,B,B,30,5562,0,,0,5,A
4574,4200,30,2.0,68.97677771793644,,1.0,7,17.0,1977,7.81528e-05,B,B,22,6398,141,1046.0,3,23,B
2577,5943,47,3.0,74.25789367407775,47.78415280777221,10.0,15,16.0,1976,6.99893e-05,B,B,46,10309,1,240.0,1,16,B
2448,12353,8,2.0,47.99857054753706,28.224887490834277,5.0,10,9.0,1969,0.43788524,B,B,23,5735,3,1084.0,0,5,B
4437,5140,1,1.0,47.0104306954243,22.589821519909982,9.0,20,27.0,2016,0.007122317,B,B,1,264,0,,0,1,B
1165,13289,1,1.0,42.54116814557532,,1.0,14,17.0,1977,0.007122317,B,B,1,264,0,,0,1,B
1564,14887,58,2.0,53.391766462917566,33.13546564653793,9.0,14,14.0,2008,0.050755569,B,B,24,5469,1,145.0,0,1,B
2122,6786,12,1.0,40.346744962864925,23.378128939348954,10.0,13,22.0,1996,0.090799103,B,B,74,19083,2,,5,15,B
843,5271,52,1.0,40.730265125879136,20.32069682321519,8.0,19,17.0,1989,0.371148999,B,B,34,7065,1,750.0,2,5,B
3899,9693,23,1.0,41.639364640789545,,1.0,6,17.0,1977,0.075778755,B,B,6,1437,3,,0,2,B
1609,12099,28,3.0,83.92758206044822,44.33556090596553,10.0,16,22.0,2007,0.118537385,B,B,30,6207,1,1183.0,1,0,B
1451,7251,5,3.0,67.56685140080488,47.50794413577214,9.0,9,14.0,1973,0.150817539,B,B,16,3433,4,2643.0,4,5,B
4845,7197,27,3.0,79.55393747573873,,1.0,5,1.0,1977,0.072157581,B,B,2,629,1,,0,0,A
2398,3744,62,3.0,83.3345401554866,,0.0,6,0.0,1977,0.072157581,B,B,2,629,1,,0,0,A
4399,9906,24,2.0,54.39698830213855,31.789238119537696,8.0,21,40.0,2010,0.111627393,B,B,50,12238,8,1970.0,2,3,B
1456,10979,62,2.0,73.18062145426948,72.30984659763331,1.0,13,11.0,1977,0.072157581,B,B,2,629,1,,0,0,A
