,Id,DistrictId,Rooms,Square,LifeSquare,KitchenSquare,Floor,HouseFloor,HouseYear,Ecology_1,Ecology_2,Ecology_3,Social_1,Social_2,Social_3,Healthcare_1,Helthcare_2,Shops_1,Shops_2
4506,9314,124,2.0,43.81262188608829,25.455828228739005,6.0,11,12.0,1968,0.122090347,B,B,29,6566,7,1894.0,4,0,B
1887,2984,1,1.0,40.813644234691175,,1.0,13,17.0,1977,0.007122317,B,B,1,264,0,,0,1,B
2450,18,15,3.0,64.2386714673314,39.263152217715714,8.0,12,12.0,1983,0.158249043,B,B,21,5731,0,,1,0,B
1547,130,46,1.0,39.20820825265636,,1.0,18,1.0,1977,0.0,B,B,47,11319,0,1145.0,3,5,B
2903,4723,95,1.0,45.542939964666616,,0.0,6,0.0,1977,0.0006991189999999,B,B,14,3369,24,4129.0,0,3,B
2984,10363,55,1.0,40.545484353832585,23.2474337522083,8.0,5,14.0,1998,0.041365446,B,B,31,5569,0,,1,4,B
2226,1659,44,2.0,45.23856411721859,28.26893796264861,6.0,6,4.0,1967,0.122190486,B,B,25,4724,2,1308.0,1,3,B
2877,11357,9,2.0,62.45652078824277,,1.0,12,10.0,2017,0.161531741,B,B,25,5648,1,30.0,2,4,B
2437,503,26,3.0,46.82428631251123,35.39142480995873,4.0,5,5.0,1963,0.0,B,B,36,6714,2,2672.0,0,2,B
3195,1358,78,2.0,54.209252192323206,31.16195538229313,8.0,6,0.0,1998,0.092290642,B,B,21,4346,2,165.0,1,2,B
1517,16392,35,1.0,45.1286127346463,,1.0,7,18.0,2014,0.089039719,B,B,33,7976,5,,0,11,B
3458,7695,101,2.0,35.765220624062465,21.994554707143536,5.0,3,5.0,1969,0.038692987,B,B,28,6533,1,1015.0,2,5,B
3206,8809,1,2.0,63.07667285772325,,1.0,13,17.0,1977,0.007122317,B,B,1,264,0,,0,1,B
2498,13496,30,2.0,62.188907476397134,35.398249554659884,12.0,4,9.0,2019,7.81528e-05,B,B,22,6398,141,1046.0,3,23,B
885,8376,74,2.0,73.51594928855674,,0.0,6,0.0,1977,0.075778755,B,B,6,1437,3,,0,2,B
3990,5177,96,1.0,37.11483388313672,18.98125283784061,9.0,2,17.0,2004,0.041116354,B,B,53,14892,4,,1,4,B
4093,7372,61,2.0,48.54753228005514,42.214992112446495,5.0,10,9.0,1976,0.300322518,B,B,52,10311,6,,1,9,B
1033,6917,57,3.0,63.58085474118582,43.920986586541176,6.0,7,12.0,1976,0.133215333,B,B,49,11395,3,1406.0,3,4,A
4515,273,1,2.0,65.16884468442858,,1.0,9,17.0,1977,0.007122317,B,B,1,264,0,,0,1,B
4168,9672,93,3.0,139.70880562664016,3.8095251645115935,1.0,3,2.0,2016,0.004949358,B,B,0,186,0,,0,0,B
1293,16637,27,2.0,64.16805290294141,,1.0,3,1.0,2014,0.017647053,B,B,2,469,0,,0,0,B
2052,5991,55,3.0,52.4532935032769,31.178348473946485,8.0,3,14.0,1990,0.041365446,B,B,31,5569,0,,1,4,B
3850,14818,48,3.0,50.442545421042006,37.61152476186811,6.0,5,9.0,1982,0.041124634,B,B,46,9515,5,,1,10,B
3140,12488,52,1.0,40.0020810679057,39.99327988695151,1.0,2,17.0,2016,0.371148999,B,B,34,7065,1,750.0,2,5,B
673,3319,48,2.0,50.62700649726228,48.79007897495828,6.0,12,12.0,1981,0.041124634,B,B,46,9515,5,,1,10,B
2571,13313,47,3.0,74.82877011499964,43.68032501359493,10.0,18,17.0,2009,0.197367951,B,B,8,2423,1,32.0,0,1,B
4394,7187,27,1.0,37.36091478787089,20.92680236416469,6.0,5,3.0,2013,0.011654127,B,B,4,915,0,,0,0,B
149,13931,138,2.0,43.69853923637347,26.41510393522152,5.0,4,5.0,1963,0.0,B,B,36,6714,2,2672.0,0,2,B
3313,4089,6,3.0,103.92229104008298,,0.0,23,25.0,1977,0.243204519,B,B,5,1564,0,540.0,0,0,B
4304,7114,89,3.0,63.10634336972989,48.632745646578535,6.0,11,9.0,1970,0.151346216,B,A,32,5889,10,830.0,4,1,B
2794,15147,6,2.0,63.367317200458295,40.99588011533297,10.0,4,17.0,2018,0.243204519,B,B,5,1564,0,540.0,0,0,B
4718,208,62,2.0,76.04820094749033,,0.0,2,0.0,1977,0.072157581,B,B,2,629,1,,0,0,A
2019,14653,47,2.0,58.91636778328034,35.229998403400906,8.0,14,17.0,2007,0.101872465,B,B,23,4583,3,,3,3,B
343,9251,1,3.0,81.98333868762508,,10.0,5,17.0,2018,0.007122317,B,B,1,264,0,,0,1,B
603,12639,32,2.0,46.44711483505979,27.099421525483933,6.0,4,9.0,1972,0.135649789,B,B,46,7960,6,350.0,3,11,B
865,5386,85,1.0,41.24874493720226,22.62303494794635,10.0,19,22.0,1989,0.037177818,B,B,52,11217,1,2300.0,1,7,B
1924,2824,66,3.0,51.30906827141424,35.792192403845355,5.0,3,9.0,1977,0.111627393,B,B,50,12238,8,1970.0,2,3,B
1878,5026,103,2.0,48.47031457342871,34.55350895087747,5.0,2,5.0,1967,0.014423114,B,B,19,3806,4,,0,3,B
1746,9919,29,2.0,48.477259305844605,30.38017957214543,6.0,2,5.0,1963,0.069660344,B,B,31,6119,4,,1,2,B
1591,8264,109,2.0,59.02184518347136,37.876982566014206,10.0,18,18.0,1983,0.0,B,B,25,5027,4,46.0,1,1,B
3873,2578,103,3.0,64.49517250670618,45.78679809799176,6.0,6,9.0,1968,0.0006991189999999,B,B,14,3369,24,4129.0,0,3,B
2755,15592,72,1.0,35.761861206804646,21.36600511042856,7.0,7,9.0,1978,0.210473241,B,B,11,2398,2,1994.0,3,0,B
2738,12076,44,3.0,61.01635522243024,43.52417808487825,6.0,4,9.0,1972,0.036122292,B,B,24,4378,0,1036.0,1,1,B
0,4567,44,1.0,36.8476300590569,19.094182475639247,5.0,5,9.0,1970,0.036122292,B,B,24,4378,0,1036.0,1,1,B
135,3798,30,2.0,39.18758707431647,5.199864262570773,1.0,4,1.0,1977,7.81528e-05,B,B,22,6398,141,1046.0,3,23,B
819,4749,9,3.0,69.552090585187,41.69485611144509,8.0,4,10.0,2011,0.161531741,B,B,25,5648,1,30.0,2,4,B
1604,1023,87,3.0,66.81654429945685,41.06250851752099,8.0,5,14.0,1987,0.100455735,B,B,43,7227,0,,1,6,A
930,8041,76,1.0,39.70596909266,19.4053337052889,9.0,8,12.0,1970,0.0,B,B,7,1660,39,1786.0,1,5,B
2377,16350,22,1.0,39.788944251902215,23.106439319360167,7.0,13,14.0,1978,0.118537385,B,B,30,6207,1,1183.0,1,0,B
4395,2428,27,1.0,31.472669536272694,18.18801523365757,7.0,3,4.0,1969,0.01405792,B,B,1,290,0,,0,0,B
650,444,32,1.0,42.078904058812135,21.307854788348827,8.0,13,25.0,1991,0.135649789,B,B,46,7960,6,350.0,3,11,B
648,15859,13,3.0,82.31104819265433,45.73843640064102,12.0,12,17.0,2001,0.090799103,B,B,74,19083,2,,5,15,B
2887,3242,6,1.0,40.28678712067378,,1.0,18,1.0,2015,0.243204519,B,B,5,1564,0,540.0,0,0,B
1081,12038,14,2.0,60.60078783431382,38.60861515824338,8.0,3,5.0,1958,0.042031587,B,B,37,6856,84,1940.0,2,5,B
2642,5648,61,2.0,47.563848008878814,34.15159171310503,6.0,8,12.0,1980,0.300322518,B,B,52,10311,6,,1,9,B
1371,1590,27,3.0,79.94568973050725,,1.0,14,17.0,1977,0.011654127,B,B,4,915,0,,0,0,B
2384,1215,62,1.0,47.06363502158803,46.19118680176756,1.0,5,17.0,1977,0.072157581,B,B,2,629,1,,0,0,A
2279,14926,23,2.0,64.9370542179923,,1.0,8,17.0,1977,0.075778755,B,B,6,1437,3,,0,2,B
2284,9750,134,2.0,77.03057926969667,42.66732232335127,12.0,5,7.0,1961,0.015016892,B,B,17,3079,59,2890.0,0,8,B
2055,4968,74,2.0,77.09800507697877,,1.0,16,1.0,1977,0.075778755,B,B,6,1437,3,,0,2,B
2941,5728,62,2.0,65.51522414921793,,0.0,5,0.0,1977,0.072157581,B,B,2,629,1,,0,0,A
181,256,6,1.0,38.87052458458938,41.17281447031687,1.0,9,1.0,1977,0.243204519,B,B,5,1564,0,540.0,0,0,B
3307,15963,48,1.0,43.21995087341279,21.92907163735461,8.0,14,14.0,1986,0.041124634,B,B,46,9515,5,,1,10,B
3931,5529,5,3.0,104.95680645684295,103.02163388055138,1.0,10,25.0,2015,0.150817539,B,B,16,3433,4,2643.0,4,5,B
1153,14084,89,2.0,60.10346563359157,32.136588238080286,8.0,20,18.0,2009,0.0,B,B,25,5027,4,46.0,1,1,B
2454,4428,23,1.0,44.15105896699918,,0.0,14,25.0,1977,0.075778755,B,B,6,1437,3,,0,2,B
4166,14438,61,2.0,57.460213321077525,33.412023557023105,10.0,16,17.0,1985,0.300322518,B,B,52,10311,6,,1,9,B
3335,10301,1,2.0,66.45040263724187,69.49521074245463,0.0,4,24.0,1977,0.007122317,B,B,1,264,0,,0,1,B
665,8593,1,2.0,47.851365072771394,33.667048014240216,6.0,5,12.0,1983,0.059456227,B,B,1,362,0,,0,0,B
2761,13262,106,3.0,91.1818752729304,60.176106731140365,9.0,7,9.0,1954,0.313924552,B,B,22,4625,11,3855.0,2,10,B
3951,7724,23,2.0,62.935159018263896,62.031825742544136,1.0,24,25.0,1977,0.075778755,B,B,6,1437,3,,0,2,B
3142,11715,121,2.0,53.62915240245624,31.75439800850781,10.0,10,16.0,1977,0.212515361,B,B,19,3293,16,628.0,3,7,B
919,11190,6,3.0,83.07196605428275,,1.0,10,17.0,1977,0.243204519,B,B,5,1564,0,540.0,0,0,B
4735,14199,23,1.0,42.24123578321651,,1.0,15,17.0,1977,0.075778755,B,B,6,1437,3,,0,2,B
832,1054,42,4.0,96.82315118483191,64.06519789804841,11.0,5,12.0,2006,0.158249043,B,B,21,5731,0,,1,0,B
73,11265,34,3.0,83.82724048818885,80.53799625700981,10.0,24,25.0,2015,0.069753361,B,B,53,13670,4,,1,11,B
